PROPERTY_ID,REPORT_NAME,PROPERTY_CODE,POS_PROPERTY_CODE,OPEN_DATE,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
20,Perryville,PERRMD,2047,2023-06-16,1240 Chesapeake Overlook Parkway,Perryville,MD,21904,39.560112,-76.071342
7,Niagara,NIAGON,,2006-04-01,3950 Victoria Ave,Niagara Falls,ON,L2E 7M8,43.116452,-79.070705
10,Grand Mound,GRANWA,2030,2008-03-14,20500 Old Hwy 99 SW,Centralia,WA,98531,46.790346,-123.010029
13,Southern California,SOUTCA,2038,2016-02-19,12681 Harbor Blvd,Garden Grove,CA,92840,33.77924,-117.915607
6,Poconos,POCOPA,2034,2005-10-01,1 Great Wolf Dr,Scotrun,PA,18355,41.059847,-75.321765
17,Manteca,MANTCA,2046,2021-06-29,19088 McKinley Ave,Manteca,CA,95337,37.786614,-121.269935
1,Wisconsin Dells,DELLWI,2031,1999-01-01,1400 Great Wolf Dr,Baraboo,WI,53913,43.57119,-89.78287
2,Sandusky,SANDOH,2035,2001-01-01,4600 Milan Rd US 250,Sandusky,OH,44870,41.412979,-82.668716
3,Traverse City,TRAVMI,2025,2003-03-01,3575 U.S. 31 North S,Traverse City,MI,49684,44.73907,-85.64768
4,Kansas City,KANSKS,2032,2003-05-01,10401 Cabela Dr,Kansas City,KS,66111,39.11773,-94.81636
5,Williamsburg,WILLVA,2029,2005-04-01,549 E Rochambeau Dr,Williamsburg,VA,23188,37.34847,-76.730859
8,Mason,MASOOH,2033,2006-12-15,2501 Great Wolf Dr,Mason,OH,45040,39.350453,-84.263952
9,Grapevine,GRAPTX,2036,2007-12-09,100 Great Wolf Dr,Grapevine,TX,76051,32.941802,-97.059385
11,Concord,CONCNC,2037,2009-03-25,10175 Weddington Rd,Concord,NC,28027,35.361368,-80.711714
12,New England,NEWEMA,2024,2014-05-23,150 Great Wolf Dr,Fitchburg,MA,01420,42.546694,-71.853932
14,Minnesota,BLOOMN,2040,2017-12-08,1700 American Blvd E,Bloomington,MN,55425,44.860969,-93.250599
15,Atlanta,ATLAGA,2041,2018-05-31,150 Tom Hall Pkwy,Lagrange,GA,30240,32.994511,-85.02385
16,Gurnee,GURNIL,2042,2018-06-22,1700 Nations Dr,Gurnee,IL,60031,42.382825,-87.944343
18,Scottsdale,SCOTAZ,2045,2019-09-27,7333 N Pima Rd,Scottsdale,AZ,85258,33.544221,-111.890202
19,Colorado,COLOCO,2039,2016-12-16,9494 Federal Drive,Colorado Springs,CO,80921,38.995477,-104.809942
21,Naples,NAPLFL,,,3900 City Gate Blvd N,Naples,FL,34117,26.16792,-81.6757329
22,Webster,WEBSTX,,,1000 Great Wolf Way,Webster,TX,77598,29.53497,-95.116923
